,Parameter,Criteria excluded,Number of criteria excluded,% of criteria excluded,Shifts in rankings,Euclidean distance,Correlation
100,100,[],0,0.0,0,0.0,1.0
95,95,"['$C_{7}$', '$C_{8}$']",2,6.25,4,0.028,0.9286
90,90,"['$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$']",4,12.5,6,0.0631,0.8929
85,85,"['$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{19}$']",5,15.625,6,0.0931,0.8929
80,80,"['$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{19}$']",7,21.875,6,0.1039,0.8571
75,75,"['$C_{2}$', '$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{19}$']",8,25.0,8,0.1051,0.8214
70,70,"['$C_{2}$', '$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{19}$', '$C_{28}$', '$C_{29}$']",10,31.25,8,0.1621,0.8214
65,65,"['$C_{2}$', '$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{19}$', '$C_{28}$', '$C_{29}$']",10,31.25,8,0.1621,0.8214
60,60,"['$C_{2}$', '$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{19}$', '$C_{28}$', '$C_{29}$']",10,31.25,8,0.1621,0.8214
55,55,"['$C_{2}$', '$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{19}$', '$C_{28}$', '$C_{29}$']",10,31.25,8,0.1621,0.8214
50,50,"['$C_{2}$', '$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{19}$', '$C_{28}$', '$C_{29}$']",10,31.25,8,0.1621,0.8214
